Course,A rate,Pass rate,Withdraw rate
SPAN 4990,71.0,99.0,0.0
SSCI 8010,60.0,100.0,0.0
SSCI 8030,60.0,80.0,0.0
STAT 2220,48.4,92.2,0.8
STAT 2300,48.142857142857146,91.71428571428572,1.8571428571428572
STAT 3090,53.04761904761905,95.38095238095238,1.4285714285714286
STAT 3300,83.0,101.0,0.0
STAT 4020,69.0,82.0,6.0
STAT 4110,58.25,91.0,2.75
STAT 8010,59.333333333333336,92.33333333333333,6.5
STAT 8020,78.0,100.0,0.0
STAT 8030,60.0,100.0,0.0
STS 1010,68.5,95.83333333333333,2.5
STS 1020,65.0,97.0,0.0
SUST 2040,72.0,97.0,0.0
THEA 2100,68.66666666666667,94.0,4.111111111111111
THEA 2780,58.0,100.0,0.0
THEA 2900,58.0,99.0,0.0
THEA 3150,56.0,93.0,0.0
THEA 3170,56.0,94.0,3.0
THEA 3470,70.0,90.0,0.0
THEA 3980,83.0,100.0,0.0
WCIN 3570,89.5,98.5,2.0
WCIN 4500,68.0,100.0,0.0
WCIN 4510,64.0,100.0,0.0
WCIN 4530,56.0,94.0,0.0
WCIN 4540,63.0,100.0,0.0
WCIN 4760,82.0,100.0,0.0
WCIN 4960,50.0,70.0,0.0
WFB 4100,59.0,100.0,0.0
WFB 4120,86.0,89.0,3.0
WFB 4180,64.0,92.0,0.0
WFB 4200,53.0,90.0,5.0
WFB 4210,84.0,94.0,5.0
WFB 4350,25.0,92.0,8.0
WFB 4720,23.0,92.0,0.0
WFB 4770,71.0,101.0,0.0
WFB 4800,42.0,90.0,3.0
WFB 6200,65.0,71.5,21.0
WFB 6210,80.0,80.0,20.0
WFB 6300,64.0,85.0,14.0
WFB 6340,69.0,75.0,13.0
WFB 6350,53.0,100.0,0.0
WFB 6620,86.0,101.0,0.0
WFB 6640,69.0,94.0,6.0
WFB 6800,50.0,100.0,0.0
WFB 8530,86.0,95.0,5.0
WFB 8610,91.5,100.0,0.0
WS 1030,79.75,99.0,0.75
WS 2300,83.0,100.0,0.0
WS 3490,98.0,101.0,0.0
WS 4900,86.0,100.0,0.0
YDP 3000,87.0,100.0,0.0
YDP 3050,71.0,92.0,0.0
YDP 3200,81.0,99.0,0.0
YDP 3250,93.0,97.0,0.0
YDP 3350,88.0,96.0,4.0
YDP 8000,81.0,100.0,0.0
YDP 8030,60.0,90.0,0.0
YDP 8060,81.0,96.0,0.0
YDP 8080,78.0,100.0,0.0
