Course,A rate,Pass rate,Withdraw rate
CHE 2110,33.0,91.0,0.0
CHE 3210,22.0,68.0,2.0
CHE 3300,27.0,88.0,0.0
CHE 4070,47.0,92.0,0.0
CHE 4160,75.0,100.0,0.0
CHE 4310,66.0,96.0,0.0
CHE 4430,86.0,98.0,0.0
CHE 4450,85.0,99.0,0.0
CHE 4500,48.0,94.0,0.0
CHE 8030,36.0,72.0,0.0
CHE 8040,45.0,99.0,0.0
CHE 8050,30.0,100.0,0.0
CHIN 1010,83.0,91.0,8.0
CHIN 3050,20.0,90.0,0.0
CHIN 3120,33.0,83.0,17.0
CHIN 4010,33.0,95.0,5.0
CHIN 4990,81.0,96.0,0.0
COM 1500,83.88888888888889,95.66666666666666,1.6666666666666667
COM 2010,73.0,98.5,0.0
COM 2020,66.5,95.0,1.5
COM 2030,70.0,100.5,0.0
COM 2500,73.89473684210526,94.99999999999999,2.6578947368421053
COM 3050,64.0,96.0,0.0
COM 3080,73.0,100.0,0.0
COM 3120,88.0,101.0,0.0
COM 3130,89.0,94.0,5.0
COM 3240,59.0,100.0,0.0
COM 3280,90.0,100.0,0.0
COM 3300,85.0,92.0,0.0
COM 3310,80.0,97.0,0.0
COM 3480,76.0,100.0,0.0
COM 3500,58.0,100.0,0.0
COM 3550,90.0,100.0,0.0
COM 3660,89.0,101.0,0.0
COM 3800,89.0,101.0,0.0
COM 3810,80.0,100.0,0.0
COM 4250,84.0,100.0,0.0
COM 4270,89.0,100.0,0.0
COM 8200,88.0,100.0,0.0
COM 8230,89.0,100.0,0.0
CPSC 1010,33.0,81.5,2.0
CPSC 1020,25.0,78.0,8.0
CPSC 1050,46.0,68.66666666666666,18.333333333333332
CPSC 1070,39.0,78.0,12.0
CPSC 1210,40.0,85.0,12.0
CPSC 2070,58.25,96.0,1.5
CPSC 2120,67.33333333333333,96.33333333333333,0.3333333333333333
CPSC 2150,48.666666666666664,93.33333333333333,0.0
CPSC 2200,70.0,90.0,7.0
CPSC 2310,25.5,75.5,6.0
CPSC 2920,67.0,91.0,2.3333333333333335
CPSC 3120,39.333333333333336,78.66666666666667,13.0
CPSC 3220,27.666666666666668,78.66666666666667,13.0
CPSC 3300,64.0,90.0,3.0
CPSC 3500,18.0,94.0,2.0
CPSC 3520,78.0,94.0,1.0
CPSC 3600,21.0,64.5,14.5
CPSC 3720,55.333333333333336,96.66666666666667,1.3333333333333333
CPSC 3990,81.75,85.0,15.5
CPSC 4030,28.0,92.0,4.0
CPSC 4050,33.0,76.0,10.0
CPSC 4110,26.0,89.0,4.0
CPSC 4120,60.0,100.0,0.0
CPSC 4140,80.0,95.0,2.0
CPSC 4160,83.0,95.0,2.0
CPSC 4180,27.0,97.0,0.0
CPSC 4200,46.0,95.5,2.0
CPSC 4240,48.0,100.0,0.0
CPSC 4300,84.33333333333333,96.66666666666666,2.3333333333333335
CPSC 4420,62.5,84.0,4.0
CPSC 4430,78.0,92.0,7.0
CPSC 4440,92.0,100.5,0.0
CPSC 4620,30.5,87.0,2.5
CPSC 4780,50.0,90.0,10.0
CPSC 4820,76.0,92.0,1.5
CPSC 4910,64.5,97.0,2.0
CPSC 6030,82.0,100.0,0.0
CPSC 6200,67.0,101.0,0.0
CPSC 6300,85.0,100.0,0.0
CPSC 6420,50.0,63.0,13.0
CPSC 6430,76.0,89.0,11.5
CPSC 6440,89.5,100.0,0.0
CPSC 6620,50.0,100.0,0.0
CPSC 7010,85.0,93.0,0.0
CPSC 7020,71.0,92.0,0.0
CPSC 8200,67.0,100.0,0.0
CPSC 8400,20.0,66.0,20.0
CPSC 8420,91.0,91.0,9.0
CPSC 8430,60.0,99.0,2.0
CPSC 8580,66.0,100.0,0.0
CPSC 8700,78.0,94.0,5.0
CPSC 8740,79.0,89.5,4.0
CPSC 8810,90.0,100.0,0.0
CPSC 8830,88.0,100.0,0.0
CRP 2010,39.0,72.0,6.0
CRP 8020,42.0,100.0,0.0
CRP 8050,67.0,100.0,0.0
CRP 8410,64.0,85.0,7.0
CRP 8600,60.0,80.0,0.0
CSM 1000,54.0,100.0,0.0
CSM 2010,78.0,96.5,0.0
CSM 2030,47.0,100.0,0.0
CSM 2040,74.0,99.0,0.0
CSM 2050,45.0,100.0,0.0
CSM 2060,47.0,101.0,0.0
